CFS Account Number,Account Name,Account Identifier,Current,1-30 Days,31-60 Days,61-90 Days,91-120 Days,121-150 Days,151-180 Days,>180 Days,Total Outstanding,Report Date
"PR000565","SMITH COUNTY","SF00017914","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000566","SCHOOL DISTRICT OF SLINGER","SF00017960","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000567","GENERAL MOTORS","SF00018144","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000568","RURAL AMERICA INITIATIVES","SF00017535","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000569","ELGIN HIGH SCHOOL","SF00017854","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000570","MAPLE RUN UNIFIED SCHOOL DISTRICT","SF00018147","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000571","BORDENTOWN REG SCHOOL DIST","SF00017998","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000572","WOBURN MEMORIAL HIGH SCHOOL","SF00018206","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000573","SOUTH PORTLAND SCHOOL DEPT.","SF00017585","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000574","UNIVERSIDAD INTERAMERICANA DE PUERTO RICO","SF00018435","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000575","URJ CAMP HARLAM","SF00017763","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000576","11TH JUDICIAL DISTRICT YOUTH & FAMILY SERVICES","SF00017427","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000577","FOLLETT HIGHER EDUCATION - STORE 1520","SF00018598","$1673.09","$0.00","$6693.75","$0.00","$0.00","$0.00","$0.00","$0.00","$8366.84","01/03/2022"
"PR000578","AMERICAN FLANGE AND MANUFACTURING CO","SF00018687","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000579","AMERICAN RED CROSS - TRAINING SERVICES","SF00004830","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000580","LAKE OSWEGO DISTRICT POOL","SF00018312","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000581","LOS ANGELES UNIFIED SCHOOL DISTRICT","SF00018717","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000582","EVA K. BOWLBY PUBLIC LIBRARY","SF00018757","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000583","TENNIS CORPORATION OF AMERICA","SF00018791","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000584","ACADEMY OF SACRED HEART-NEW ORLEANS","SF00018567","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000585","HILO HIGH SCHOOL","SF00018311","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000586","MASSILLON CITY SCHOOLS","SF00018747","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000587","REC CENTER","SF00018871","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000588","CERRITOS COLLEGE","SF00018404","$0.00","$135.65","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$135.65","01/03/2022"
"PR000589","EASTCONN","SF00018324","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000590","SIERRA NEVADA CORPORATION","SF00018578","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000591","CINCINNATI RECREATION COMMISSION","SF00018895","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000592","CITY OF INDIAN HARBOUR BEACH","SF00018796","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000593","EAST STROUDSBURG AREA SCHOOL DIST","SF00018922","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000594","GOSHEN CENTRAL SCHOOL DISTRICT","SF00018906","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000595","DEPARTMENT OF PUBLIC SAFETY","SF00018681","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000596","LAKELAND CENTRAL SCHOOL DISTRICT","SF00018523","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000597","CITY OF BIRMINGHAM PARK AND RECREATION DEPARTMENT","SF00019069","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000598","EARLY EDUCATION AND CARE, INC.","SF00019084","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000599","HIDALGO COUNTY HEAD START PROGRAM","SF00019105","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000600","SOARING EAGLE WATER PARK AND HOTEL","SF00018591","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000601","CITY OF BERKELEY","SF00019253","$0.00","$109.41","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$109.41","01/03/2022"
"PR000602","SHREWSBURY PUBLIC SCHOOLS","SF00019309","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000603","NC DEPARTMENT OF ADMINISTRATION","SF00019102","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000604","PRINTPACK INC","SF00019254","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000605","PARKLAND SCHOOL DISTRICT","SF00019385","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000606","TOWN OF HEMPSTEAD","SF00007917","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000607","WEST ISLIP PUBLIC SCHOOLS","SF00019450","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000608","CITY OF LYNDHURST","SF00019639","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000609","ROXBOROUGH YMCA","SF00019327","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000610","ARAPAHOE BOOKSTORE - FOLLETT STORE #0249","SF00019462","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000611","CITY OF FRISCO","SF00019421","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000612","NATIONAL GRID","SF00018235","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000613","BOROUGH OF PROSPECT PARK","SF00019566","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000614","WILTON PUBLIC SCHOOLS","SF00019594","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000615","CITY OF CLEBURNE","SF00018739","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000616","WALTERS STATE CC BOOKSTORE-FOLLETT 2081","SF00019670","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000617","WEST MONROE PARTNERS","SF00019384","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000618","LAREDO COMMUNITY COLLEGE_1","SF00019527","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000619","FEDCAP/SMART","SF00019458","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000620","ROSELLE PARK HIGH SCHOOL","SF00019664","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000621","UNIVERSITY OF MASSACHUSETTS AT AMHERST","SF00019846","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000622","DEPT. OF FIRE & PUBLIC SAFETY- OCEAN SAFETY BUREAU","SF00019647","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000623","DE QUEEN MENA EDUCATIONAL COOPERATIVE","SF00019950","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000624","AMERICAN ELECTRIC POWER/APPALACHIAN POWER","SF00019775","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000625","BARNES & NOBLE COLLEGE","SF00019632","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000626","WESTPORT PUBLIC SCHOOLS","SF00019915","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000627","SAN MATEO COUNTY TRANSIT DISTRICT","SF00017908","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000628","SOUTH PLAINS COLLEGE BOOKSTORE","SF00019991","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000629","RANDOLPH-HENRY HIGH SCHOOL","SF00020111","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000630","SPOKANE TRIBE","SF00020028","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000631","LOCKPORT CITY SCHOOL DISTRICT","SF00009217","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000632","STARBUCKS KFP","SF00019897","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000633","UNIVERSITY OF MEMPHIS BOOKSTORE FOLLETT #1227","SF00019845","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1465.65","$1465.65","01/03/2022"
"PR000634","ALLEGHENY COUNTY ADULT PROBATION","SF00020086","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000635","AGUA CALIENTE CASINO RESORT SPA","SF00019654","$17.96","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$17.96","01/03/2022"
"PR000636","CENTRAL TEXAS 4C INC.","SF00020091","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000637","OWENS VALLEY CAREER DEVELOPMENT CENTER_3","SF00019368","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000638","COMHAR, INC","SF00020161","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000639","CHILDNET YOUTH AND FAMILY SERVICES INC","SF00018970","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000640","CHICK-FIL-A","SF00019893","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000641","GREEN CHIMNEYS CHILDREN'S SERVICES","SF00020251","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000642","GREEN HILLS HEAD START","SF00020245","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000643","TOWN OF OYSTER BAY","SF00020357","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000644","THE LINSLY SCHOOL","SF00020308","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000645","YORKTOWN HIGH SCHOOL","SF00020166","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000646","SHENANGO AREA SCHOOL DISTRICT","SF00019941","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000647","GRANTON AREA SCHOOL DISTRICT","SF00020294","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000648","ST THERESA SCHOOL","SF00020154","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000649","CONTINENTAL AUTOMOTIVE SYSTEMS, INC","SF00020386","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000650","THE COUNTRY CLUB","SF00019859","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000651","NEXTSTEP FOR LIFE, INC.","SF00020141","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000652","BOOK REVUE WHOLESALE","SF00020396","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000653","FALMOUTH BEACHES","SF00020411","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000654","ALABAMA STATE UNIVERSITY","SF00020482","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000655","TOWN OF CARMEL-RECREATION DEPARTMENT","SF00019745","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000656","RITTENHOUSE BOOK DISTRIBUTORS","SF00020304","$32186.76","$7859.28","$0.00","$7252.77","-$201.42","$0.00","$0.00","$0.00","$47097.39","01/03/2022"
"PR000657","TOWN OF BARNSTABLE","SF00013841","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000658","SAN FRANCISCO ADULT PROBATION DEPARTMENT","SF00020277","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000659","WESTERN PA LABORERS TRAINING","SF00020525","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000660","BURLINGTON SCHOOL DEPARTMENT","SF00020657","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000661","CHENANGO VALLEY CENTRAL SCHOOL DISTRICT","SF00020859","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000662","LONDONDERRY SCHOOL DISTRICT","SF00020785","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000663","BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT","SF00020599","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000664","HONOLULU COMMUNITY ACTION PROGRAM: HEAD START","SF00020591","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000665","MASTERBRAND CABINETS, INC.","SF00020788","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000666","COTTEY COLLEGE BOOKSTORE","SF00020818","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000667","PREMISE HEALTH","SF00020895","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000668","FOLLETT #0225 - LANEY COLLEGE BOOKSTORE","SF00020278","$326.63","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$326.63","01/03/2022"
"PR000669","TWO RIVERS BEHAVIORAL HEALTH SYSTEM","SF00020876","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000670","EASTER SEALS METROPOLITAN OF CHICAGO","SF00020967","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000671","RICHMOND RESIDENTIAL SERVICES, INC","SF00020972","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000672","CITY OF PLACERVILLE","SF00020480","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000673","COLLIN COUNTY COMMUNITY COLLEGE","SF00020890","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000674","KIT CARSON COUNTY DEPARTMENT OF PUBLIC HEALTH AND","SF00020772","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000675","SEVEN CLANS CASINO, HOTEL & INDOOR WATERPARK","SF00020832","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000676","CITY OF ELROY","SF00020790","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000677","TUCKAHOE UNION FREE SCHOOL DISTRICT","SF00021319","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000678","HAPPY HOME DAYCARE","SF00021194","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000679","CITY OF SAN CLEMENTE","SF00021258","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000680","MERCEDES-BENZ VANS, LLC AKA DAIMLER VANS MANUFACTURING, LL","SF00021273","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000681","THE OMNI HOMESTEAD","SF00021329","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000682","NORTH PLATTE REC CENTER","SF00021083","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000683","SHERBURNE EARLVILLE CSD","SF00021257","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000684","HORIZON MIDDLE SCHOOL","SF00021355","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000685","YAKAMA NATION LEGENDS CASINO","SF00020715","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000686","HAYTI R-2 SCHOOL DISTRICT","SF00021532","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000687","GWINNETT HOSPITAL SYSTEM","SF00021604","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000688","LAFAYETTE SCHOOL CORPORATION","SF00021590","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000689","OPPORTUNITIES, INC. HEAD START 0-5","SF00020811","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000690","SUQUAMISH TRIBE","SF00021665","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000691","CONCORDIA UNIVERSITY BOOKSTORE","SF00021583","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000692","SOUTH SUBURBAN COLLEGE BOOKSTORE","SF00021804","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000693","VOANS SCCNC","SF00021139","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000694","TEXAS BOOK COMPANY","SF00021565","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000695","FEDERAL LAW ENFORCEMENT TRAINING CENTER","SF00021668","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000696","HOWELL TOWNSHIP BOARD OF EDUCATION","SF00021890","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000697","ICHABOD SHOP","SF00021812","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000698","KALAMAZOO PSYCHIATRIC HOSPITAL","SF00021906","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000699","EVSC-EARLY LEARNING","SF00021543","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000700","ELKHART CENTRAL HIGH SCHOOL","SF00021680","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000701","KITTATINNY REGIONAL HIGH SCHOOL","SF00021704","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000702","SOUTHEASTERN GROCERS","SF00022047","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000703","GOJET AIRLINES","SF00021802","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000704","CITY OF HAMPTON RISK MANAGEMENT","SF00021645","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000705","SOUTH GIBSON SCHOOL CORPORATION","SF00021765","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000706","ALLIED UNIVERSAL","SF00021958","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000707","CUMBERLAND CAPE ATLANTIC YMCA","SF00013006","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000708","CABRINI HIGH SCHOOL","SF00021548","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000709","THRESHOLD REHABILITATION SERVICES","SF00021749","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000710","CONCORD SCHOOL DISTRICT","SF00022112","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000711","SIMCOE MUSKOKA CATHOLIC DISTRICT SCHOOL BOARD","SF00022130","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000712","THE MEADOWS CENTER FOR WATER AND THE ENVIORNMENT","SF00021679","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000713","FORSYTH COUNTY SHERIFF'S OFFICE","SF00022080","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000714","MIDMICH MEDICAL CENTER","SF00022134","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000715","HANOVER PUBLIC SCHOOL DISTRICT","SF00022128","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000716","ERIE COMMUNITY COLLEGE","SF00022272","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000717","FOLLETT_2","SF00021685","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000718","SMS INFOCOMM CORP","SF00021719","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000719","FOLLETT-BAYLOR BKST 0461","SF00021854","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000720","HARWICH RECREATION DEPARTMENT","SF00022140","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000721","REDFORD UNION HIGH SCHOOL","SF00022357","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000722","EWG REGIONAL SCHOOL DISTRICT","SF00022218","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000723","REDFORD UNION SCHOOLS","SF00022328","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000724","MASSACHUSETTS PORT AUTHORITY","SF00022549","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000725","CSUEB PIONEER BOOKSTORE (FOLLETT #1106)","SF00022279","$0.00","$24.51","$0.00","$0.00","$0.00","$0.00","$0.00","-$8.46","$16.05","01/03/2022"
"PR000726","GREENVILLE MIDDLE SCHOOL","SF00022323","$145.61","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$145.61","01/03/2022"
